Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5352	334	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5449	343	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5416	358	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5419	380	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5531	359	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5329	357	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5433	366	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5419	350	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5454	336	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity100_cov1.00	5353	351	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2198	3488	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2227	3565	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2291	3483	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2203	3596	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2223	3667	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2151	3535	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2228	3571	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2217	3552	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2307	3483	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.85	2261	3443	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2214	3472	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2237	3555	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2301	3473	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2215	3584	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2239	3651	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2167	3519	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2232	3567	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2231	3538	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2317	3473	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.90	2271	3433	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2244	3442	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2276	3516	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2330	3444	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2257	3542	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2282	3608	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2205	3481	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2262	3537	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2258	3511	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2353	3437	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity90_cov0.95	2324	3380	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3835	1851	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3944	1848	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3936	1838	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3819	1980	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3950	1940	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3793	1893	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3875	1924	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3917	1852	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3917	1873	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity95_cov0.95	3905	1799	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4495	1191	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4587	1205	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4583	1191	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4519	1280	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4618	1272	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4479	1207	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4511	1288	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4559	1210	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4592	1198	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.95	4530	1174	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4511	1175	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4611	1181	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4610	1164	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4534	1265	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4633	1257	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4501	1185	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4535	1264	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4587	1182	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4606	1184	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.97	4551	1153	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4563	1123	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4665	1127	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4656	1118	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4599	1200	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4687	1203	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4553	1133	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4591	1208	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4642	1127	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4658	1132	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity97_cov0.99	4589	1115	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4771	915	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4886	906	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4839	935	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4833	966	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4892	998	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4747	939	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4810	989	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4855	914	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4880	910	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity98_cov0.98	4812	892	5704
family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5014	672	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5115	677	5792	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5068	706	5774	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5067	732	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5182	708	5890	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	4961	725	5686	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5047	752	5799	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5093	676	5769	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5113	677	5790	family-unclassified_MinLen_V4_reverse_BLCA_out_identity99_cov0.99	5025	679	5704
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2199	68	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2217	60	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2209	56	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2176	65	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2178	53	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2254	65	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2174	58	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2205	53	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2142	61	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity100_cov1.00	2212	57	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	608	1659	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	572	1705	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	605	1660	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	617	1624	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	587	1644	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	590	1729	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	637	1595	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	619	1639	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	609	1594	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.85	630	1639	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	657	1610	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	628	1649	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	660	1605	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	677	1564	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	638	1593	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	638	1681	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	693	1539	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	671	1587	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	681	1522	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.90	684	1585	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	749	1518	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	701	1576	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	747	1518	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	756	1485	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	716	1515	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	714	1605	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	767	1465	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	768	1490	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	762	1441	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity90_cov0.95	759	1510	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1601	666	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1578	699	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1578	687	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1620	621	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1537	694	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1570	749	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1602	630	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1550	708	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1547	656	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity95_cov0.95	1634	635	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1890	377	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1860	417	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1889	376	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1898	343	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1840	391	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1910	409	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1861	371	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1853	405	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1838	365	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.95	1930	339	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1899	368	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1863	414	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1895	370	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1905	336	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1848	383	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1916	403	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1866	366	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1863	395	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1847	356	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.97	1937	332	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1916	351	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1887	390	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1920	345	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1919	322	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1865	366	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1927	392	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1878	354	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1879	379	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1862	341	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity97_cov0.99	1948	321	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	1997	270	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	1974	303	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	2004	261	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	2011	230	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	1967	264	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	2032	287	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	1987	245	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	1963	295	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	1945	258	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity98_cov0.98	2032	237	2269
family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2098	169	2267	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2090	187	2277	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2116	149	2265	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2082	159	2241	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2087	144	2231	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2136	183	2319	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2080	152	2232	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2089	169	2258	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2067	136	2203	family-unclassified_MinLen_V6V9_reverse_BLCA_out_identity99_cov0.99	2122	147	2269
