Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3502	87	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3514	93	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3486	117	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3532	71	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3562	86	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3420	91	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3477	98	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3520	87	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3539	84	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity100_cov1.00	3411	79	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	1058	2531	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	986	2621	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	1054	2549	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	987	2616	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	1033	2615	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	1011	2500	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	1011	2564	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	990	2617	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	1000	2623	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.85	1024	2466	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1137	2452	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1067	2540	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1129	2474	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1073	2530	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1101	2547	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1082	2429	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1099	2476	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1057	2550	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1086	2537	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.90	1109	2381	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1235	2354	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1177	2430	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1220	2383	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1162	2441	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1213	2435	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1190	2321	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1205	2370	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1160	2447	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1186	2437	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity90_cov0.95	1223	2267	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2568	1021	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2547	1060	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2581	1022	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2500	1103	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2603	1045	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2479	1032	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2526	1049	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2553	1054	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2569	1054	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity95_cov0.95	2513	977	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2966	623	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2963	644	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	3018	585	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2950	653	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2995	653	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2871	640	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2910	665	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2962	645	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2995	628	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.95	2895	595	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2967	622	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2964	643	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	3022	581	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2954	649	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2995	653	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2873	638	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2913	662	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2965	642	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2997	626	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.97	2895	595	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	2985	604	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	2987	620	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	3037	566	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	2975	628	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	3012	636	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	2892	619	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	2940	635	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	2993	614	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	3020	603	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity97_cov0.99	2914	576	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3136	453	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3151	456	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3164	439	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3142	461	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3178	470	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3039	472	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3077	498	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3148	459	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3168	455	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity98_cov0.98	3081	409	3490
family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3281	308	3589	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3300	307	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3288	315	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3298	305	3603	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3336	312	3648	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3198	313	3511	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3242	333	3575	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3308	299	3607	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3324	299	3623	family-unclassified_MinLen_V3V5_reverse_BLCA_out_identity99_cov0.99	3213	277	3490
