Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3484	105	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3497	110	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3495	108	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3489	114	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3556	92	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3399	112	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3463	112	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3515	92	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3520	103	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity100_cov1.00	3393	97	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1117	2472	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1127	2480	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1213	2390	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1132	2471	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1151	2497	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1135	2376	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1119	2456	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1097	2510	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1130	2493	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.85	1151	2339	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1135	2454	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1148	2459	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1241	2362	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1153	2450	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1174	2474	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1153	2358	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1138	2437	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1118	2489	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1147	2476	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.90	1167	2323	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1230	2359	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1238	2369	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1336	2267	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1251	2352	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1258	2390	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1240	2271	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1241	2334	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1213	2394	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1241	2382	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity90_cov0.95	1272	2218	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2525	1064	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2533	1074	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2556	1047	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2487	1116	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2573	1075	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2444	1067	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2488	1087	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2514	1093	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2530	1093	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity95_cov0.95	2478	1012	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2953	636	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2927	680	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2994	609	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2934	669	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	3011	637	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2840	671	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2891	684	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2971	636	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2959	664	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.95	2879	611	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2963	626	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2943	664	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	3001	602	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2941	662	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	3022	626	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2856	655	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2900	675	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2983	624	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2969	654	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.97	2887	603	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	2990	599	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	2977	630	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	3027	576	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	2966	637	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	3051	597	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	2882	629	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	2947	628	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	3006	601	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	3006	617	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity97_cov0.99	2922	568	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3154	435	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3156	451	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3175	428	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3149	454	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3221	427	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3057	454	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3100	475	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3167	440	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3193	430	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity98_cov0.98	3061	429	3490
family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3342	247	3589	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3331	276	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3339	264	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3326	277	3603	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3387	261	3648	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3210	301	3511	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3295	280	3575	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3338	269	3607	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3352	271	3623	family-unclassified_MinLen_V3V5_BLCA_out_identity99_cov0.99	3219	271	3490
